Satisfied,Gender,Age,Age_Group,Customer_Type,Type_Travel,Seat_Class,Seat_Comfort,Catering,Cleanliness,Online_Support,Onboard_Service,Travel_Distance(km),delay(seconds),num_sat,ID
yes,F,50,Upper Age,loyal,biz,premium,Good,Good,Poor,Good,Poor,162,24,1,98860606
yes,F,50,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,341,0,1,98860608
no,F,37,Middle,infrequent,biz,premium,Poor,Poor,Good,Good,Acceptable,127,122,0,98860609
no,M,40,Middle,loyal,pers,premium,Acceptable,Acceptable,Acceptable,Acceptable,Poor,190,2,0,98860610
yes,F,57,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,61,0,1,98860611
yes,F,23,Young Adult,infrequent,biz,regular,Good,Good,Good,Good,Good,302,2,1,98860614
yes,F,43,Middle,loyal,biz,premium,Good,Acceptable,Good,Good,Good,108,65,1,98860617
yes,M,49,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,198,6,1,98860618
yes,M,25,Young Adult,loyal,biz,premium,Poor,Poor,Good,Good,Good,365,64,1,98860619
no,F,21,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Good,Poor,223,72,0,98860621
no,M,45,Middle,loyal,pers,premium,Poor,Poor,Good,Poor,Good,199,0,0,98860622
yes,M,33,Middle,loyal,biz,premium,Good,Poor,Good,Good,Good,281,0,1,98860627
no,F,28,Young Adult,infrequent,biz,regular,Acceptable,Acceptable,Good,Good,Good,209,0,0,98860628
yes,F,54,Upper Age,loyal,pers,premium,Good,Good,Good,Good,Good,66,10,1,98860630
no,F,33,Middle,loyal,biz,regular,Poor,Acceptable,Poor,Acceptable,Poor,292,0,0,98860631
yes,F,57,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,58,0,1,98860634
yes,F,51,Upper Age,loyal,pers,regular,Good,Good,Poor,Good,Poor,95,74,1,98860635
no,M,22,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Poor,Acceptable,341,67,0,98860636
yes,M,39,Middle,loyal,biz,premium,Acceptable,Good,Good,Acceptable,Good,194,0,1,98860641
no,M,33,Middle,loyal,pers,regular,Poor,Poor,Acceptable,Acceptable,Poor,266,7,0,98860644
yes,F,53,Upper Age,loyal,pers,premium,Acceptable,Acceptable,Good,Poor,Good,126,3,1,98860647
yes,M,42,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,365,35,1,98860648
yes,M,35,Middle,loyal,biz,premium,Good,Poor,Good,Good,Acceptable,180,10,1,98860649
yes,F,51,Upper Age,loyal,pers,regular,Good,Good,Good,Good,Good,158,3,1,98860651
no,M,68,Elder,infrequent,biz,regular,Poor,Poor,Acceptable,Good,Poor,230,0,0,98860652
no,M,25,Young Adult,loyal,pers,premium,Poor,Poor,Acceptable,Acceptable,Good,86,0,0,98860657
yes,F,19,Young Adult,loyal,pers,regular,Good,Good,Good,Good,Good,206,0,1,98860661
no,M,44,Middle,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Good,158,58,0,98860664
yes,M,45,Middle,loyal,biz,premium,Good,Good,Acceptable,Good,Acceptable,199,0,1,98860668
no,F,22,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Good,Poor,227,21,0,98860669
no,M,50,Upper Age,loyal,pers,premium,Acceptable,Acceptable,Good,Good,Poor,161,205,0,98860672
yes,F,59,Upper Age,loyal,pers,regular,Good,Good,Good,Good,Good,105,14,1,98860673
yes,M,59,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,124,0,1,98860676
yes,M,33,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Acceptable,206,1,1,98860680
no,F,30,Middle,infrequent,biz,regular,Acceptable,Acceptable,Acceptable,Good,Good,131,9,0,98860681
yes,M,64,Elder,loyal,pers,premium,Good,Good,Poor,Poor,Poor,151,0,1,98860684
no,F,59,Upper Age,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Poor,137,0,0,98860685
yes,F,32,Middle,loyal,pers,regular,Poor,Poor,Good,Good,Good,144,46,1,98860687
no,M,60,Elder,loyal,biz,regular,Acceptable,Poor,Acceptable,Good,Poor,186,0,0,98860688
yes,F,50,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,52,7,1,98860689
no,F,39,Middle,infrequent,biz,regular,Poor,Poor,Good,Poor,Acceptable,205,4,0,98860691
no,M,25,Young Adult,infrequent,biz,regular,Poor,Acceptable,Poor,Poor,Good,183,0,0,98860692
yes,F,43,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,351,0,1,98860695
yes,F,40,Middle,loyal,pers,premium,Good,Good,Good,Good,Acceptable,196,0,1,98860698
no,F,36,Middle,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Good,232,78,0,98860702
yes,F,62,Elder,loyal,pers,regular,Poor,Acceptable,Good,Good,Good,94,0,1,98860703
yes,F,24,Young Adult,loyal,biz,regular,Good,Good,Good,Acceptable,Acceptable,348,0,1,98860704
no,M,35,Middle,loyal,pers,regular,Poor,Poor,Poor,Poor,Poor,173,0,0,98860706
no,M,46,Upper Age,loyal,biz,regular,Poor,Good,Good,Poor,Poor,195,64,0,98860707
yes,M,60,Elder,loyal,biz,regular,Good,Good,Poor,Good,Poor,183,8,1,98860709
yes,F,39,Middle,loyal,pers,premium,Good,Acceptable,Good,Acceptable,Good,207,0,1,98860710
yes,F,34,Middle,loyal,pers,premium,Poor,Poor,Good,Good,Good,189,0,1,98860711
yes,F,46,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,335,1,1,98860712
no,M,47,Upper Age,loyal,pers,premium,Poor,Good,Good,Acceptable,Good,161,100,0,98860715
yes,M,54,Upper Age,loyal,biz,regular,Good,Good,Poor,Good,Acceptable,226,0,1,98860716
yes,M,34,Middle,loyal,biz,premium,Poor,Poor,Poor,Good,Poor,177,0,1,98860718
yes,M,58,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,175,14,1,98860720
yes,F,44,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,298,0,1,98860723
no,F,64,Elder,loyal,pers,regular,Good,Good,Acceptable,Good,Acceptable,144,8,0,98860725
yes,F,45,Middle,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,269,12,1,98860727
yes,M,63,Elder,loyal,biz,regular,Poor,Poor,Good,Good,Good,350,0,1,98860733
yes,F,23,Young Adult,loyal,pers,regular,Acceptable,Poor,Good,Good,Good,158,0,1,98860735
yes,M,67,Elder,loyal,biz,regular,Poor,Poor,Good,Good,Good,301,0,1,98860740
no,F,48,Upper Age,infrequent,biz,regular,Acceptable,Acceptable,Good,Good,Good,223,0,0,98860745
no,M,33,Middle,loyal,pers,regular,Poor,Poor,Good,Good,Acceptable,226,0,0,98860746
yes,F,26,Young Adult,loyal,pers,premium,Poor,Poor,Good,Poor,Good,191,1,1,98860747
yes,M,43,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,120,1,1,98860752
yes,M,53,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,158,0,1,98860755
yes,F,53,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,97,0,1,98860758
no,F,27,Young Adult,infrequent,biz,regular,Good,Good,Acceptable,Poor,Good,276,90,0,98860759
no,M,25,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Acceptable,206,30,0,98860761
yes,F,52,Upper Age,loyal,biz,premium,Good,Good,Acceptable,Good,Acceptable,55,0,1,98860762
no,M,24,Young Adult,loyal,pers,premium,Good,Good,Acceptable,Poor,Poor,218,26,0,98860764
yes,F,29,Young Adult,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,293,27,1,98860772
no,M,43,Middle,loyal,biz,premium,Acceptable,Good,Acceptable,Good,Acceptable,194,0,0,98860776
yes,M,30,Middle,loyal,pers,regular,Good,Poor,Good,Acceptable,Acceptable,183,4,1,98860778
yes,F,59,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,64,220,1,98860781
yes,M,55,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,242,0,1,98860782
yes,F,50,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,66,0,1,98860784
yes,M,40,Middle,loyal,biz,premium,Poor,Acceptable,Good,Poor,Good,259,3,1,98860786
no,M,51,Upper Age,loyal,pers,regular,Acceptable,Acceptable,Good,Poor,Good,137,0,0,98860787
yes,F,24,Young Adult,loyal,biz,regular,Good,Poor,Acceptable,Good,Acceptable,435,18,1,98860788
yes,M,25,Young Adult,loyal,biz,regular,Poor,Poor,Poor,Good,Acceptable,368,15,1,98860790
yes,F,42,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,178,215,1,98860792
no,M,47,Upper Age,loyal,biz,premium,Good,Good,Poor,Good,Poor,270,6,0,98860795
yes,M,32,Middle,loyal,biz,regular,Good,Poor,Good,Good,Good,115,0,1,98860797
yes,M,42,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,331,94,1,98860798
yes,F,51,Upper Age,loyal,pers,premium,Good,Good,Poor,Good,Poor,57,22,1,98860800
no,M,22,Young Adult,infrequent,biz,premium,Poor,Poor,Acceptable,Good,Poor,147,16,0,98860801
no,F,28,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Poor,Poor,222,5,0,98860802
yes,F,45,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,286,20,1,98860803
no,M,29,Young Adult,loyal,pers,regular,Acceptable,Good,Good,Poor,Poor,218,0,0,98860806
no,M,59,Upper Age,infrequent,biz,premium,Acceptable,Poor,Poor,Poor,Acceptable,445,4,0,98860808
no,M,69,Elder,loyal,pers,premium,Poor,Poor,Good,Good,Acceptable,225,2,0,98860811
yes,F,50,Upper Age,loyal,biz,regular,Poor,Poor,Poor,Good,Poor,184,0,1,98860812
yes,M,58,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,231,52,1,98860814
yes,F,42,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,110,0,1,98860815
no,M,35,Middle,loyal,biz,regular,Poor,Poor,Poor,Good,Poor,214,5,0,98860817
yes,M,49,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,334,0,1,98860818
yes,M,55,Upper Age,loyal,biz,regular,Poor,Poor,Poor,Good,Poor,78,22,1,98860823
no,F,40,Middle,infrequent,biz,premium,Poor,Poor,Poor,Acceptable,Poor,182,16,0,98860825
yes,M,39,Middle,loyal,biz,regular,Good,Good,Poor,Good,Poor,167,0,1,98860827
yes,M,40,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,165,19,1,98860828
yes,F,61,Elder,loyal,pers,premium,Poor,Poor,Good,Acceptable,Good,98,39,1,98860831
yes,F,58,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,124,0,1,98860832
yes,F,65,Elder,loyal,pers,regular,Poor,Poor,Good,Good,Good,109,213,1,98860833
yes,F,38,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,87,0,1,98860835
yes,F,59,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,316,5,1,98860839
no,M,56,Upper Age,loyal,pers,premium,Acceptable,Poor,Good,Acceptable,Poor,153,0,0,98860842
yes,F,41,Middle,loyal,biz,regular,Good,Good,Good,Acceptable,Good,120,0,1,98860843
no,M,55,Upper Age,loyal,biz,premium,Poor,Acceptable,Good,Poor,Acceptable,201,61,0,98860844
yes,F,56,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,332,0,1,98860850
no,M,40,Middle,loyal,pers,regular,Poor,Poor,Good,Poor,Good,190,29,0,98860851
yes,F,18,Young Adult,loyal,pers,premium,Poor,Poor,Good,Good,Good,229,4,1,98860854
yes,M,39,Middle,infrequent,biz,premium,Acceptable,Acceptable,Good,Good,Poor,250,58,1,98860855
yes,F,33,Middle,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,250,0,1,98860857
yes,M,43,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Good,340,0,1,98860858
yes,F,18,Young Adult,loyal,pers,premium,Good,Good,Acceptable,Good,Acceptable,170,0,1,98860860
yes,M,23,Young Adult,infrequent,biz,premium,Good,Good,Good,Acceptable,Good,230,0,1,98860861
no,M,37,Middle,infrequent,biz,regular,Poor,Poor,Good,Poor,Poor,237,107,0,98860863
yes,F,51,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,274,42,1,98860864
no,F,58,Upper Age,loyal,biz,regular,Poor,Acceptable,Poor,Acceptable,Poor,180,0,0,98860865
yes,F,22,Young Adult,loyal,pers,premium,Good,Acceptable,Good,Good,Acceptable,212,0,1,98860866
yes,F,34,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,216,80,1,98860869
no,M,48,Upper Age,loyal,pers,regular,Poor,Poor,Poor,Acceptable,Good,234,0,0,98860870
yes,M,25,Young Adult,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,394,0,1,98860873
no,M,24,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Good,Acceptable,193,6,0,98860874
yes,F,56,Upper Age,loyal,pers,premium,Good,Good,Good,Poor,Good,100,140,1,98860875
no,M,49,Upper Age,loyal,pers,regular,Poor,Poor,Good,Poor,Good,374,0,0,98860878
no,M,77,Elder,loyal,biz,regular,Poor,Poor,Poor,Acceptable,Acceptable,199,0,0,98860879
no,M,33,Middle,loyal,pers,regular,Acceptable,Acceptable,Good,Acceptable,Good,381,0,0,98860880
yes,F,60,Elder,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,265,45,1,98860887
yes,F,50,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,199,19,1,98860888
no,F,56,Upper Age,infrequent,biz,regular,Poor,Poor,Poor,Good,Poor,143,0,0,98860889
yes,M,52,Upper Age,loyal,biz,premium,Acceptable,Good,Poor,Acceptable,Acceptable,287,253,1,98860891
yes,M,49,Upper Age,loyal,biz,premium,Good,Acceptable,Good,Good,Poor,138,0,1,98860892
no,M,22,Young Adult,infrequent,biz,regular,Acceptable,Acceptable,Poor,Acceptable,Poor,214,5,0,98860896
no,F,30,Middle,infrequent,biz,regular,Poor,Poor,Acceptable,Good,Poor,216,0,0,98860897
yes,F,46,Upper Age,loyal,biz,regular,Poor,Acceptable,Good,Good,Good,265,0,1,98860899
yes,F,25,Young Adult,loyal,biz,regular,Poor,Poor,Good,Good,Good,324,208,1,98860900
no,M,23,Young Adult,loyal,pers,regular,Poor,Acceptable,Good,Poor,Acceptable,181,21,0,98860901
no,F,49,Upper Age,infrequent,biz,premium,Poor,Poor,Acceptable,Good,Poor,136,0,0,98860902
no,M,48,Upper Age,loyal,biz,premium,Poor,Poor,Good,Poor,Good,310,35,0,98860904
yes,F,28,Young Adult,loyal,biz,regular,Acceptable,Poor,Good,Acceptable,Acceptable,352,0,1,98860907
no,M,45,Middle,loyal,pers,regular,Acceptable,Acceptable,Good,Acceptable,Poor,258,0,0,98860908
yes,M,28,Young Adult,loyal,biz,regular,Poor,Good,Good,Good,Good,289,0,1,98860925
yes,F,46,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,391,0,1,98860926
yes,M,44,Middle,infrequent,biz,regular,Good,Good,Good,Poor,Acceptable,220,24,1,98860928
yes,M,43,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,190,20,1,98860930
yes,M,58,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,236,65,1,98860931
yes,F,45,Middle,loyal,pers,regular,Poor,Poor,Good,Poor,Good,101,0,1,98860932
no,M,55,Upper Age,infrequent,biz,regular,Acceptable,Acceptable,Acceptable,Poor,Poor,310,0,0,98860934
yes,M,23,Young Adult,infrequent,biz,regular,Good,Good,Good,Good,Acceptable,185,3,1,98860937
yes,M,18,Young Adult,loyal,biz,regular,Poor,Poor,Good,Poor,Good,492,0,1,98860938
no,M,23,Young Adult,loyal,pers,premium,Poor,Poor,Good,Poor,Good,286,0,0,98860939
no,F,24,Young Adult,infrequent,biz,regular,Poor,Poor,Acceptable,Poor,Good,279,7,0,98860940
yes,M,42,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,222,26,1,98860943
no,F,55,Upper Age,loyal,biz,premium,Poor,Acceptable,Poor,Good,Poor,168,68,0,98860947
no,F,28,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Good,Good,229,123,0,98860948
no,M,62,Elder,infrequent,biz,premium,Acceptable,Acceptable,Poor,Poor,Acceptable,134,0,0,98860949
no,M,28,Young Adult,loyal,pers,premium,Good,Good,Good,Good,Poor,218,0,0,98860950
yes,F,49,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,377,13,1,98860951
no,M,39,Middle,infrequent,biz,regular,Poor,Poor,Good,Poor,Good,176,12,0,98860952
no,M,22,Young Adult,infrequent,biz,premium,Good,Acceptable,Good,Poor,Acceptable,143,1,0,98860953
no,F,47,Upper Age,loyal,biz,premium,Poor,Poor,Poor,Acceptable,Poor,105,13,0,98860961
yes,F,46,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Good,Poor,Good,388,0,1,98860962
no,F,68,Elder,loyal,pers,regular,Acceptable,Acceptable,Acceptable,Good,Acceptable,66,47,0,98860963
yes,M,51,Upper Age,loyal,biz,regular,Good,Poor,Poor,Good,Good,136,18,1,98860966
yes,M,51,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,198,63,1,98860969
no,F,23,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Poor,Good,195,4,0,98860971
yes,M,37,Middle,infrequent,biz,regular,Good,Good,Good,Good,Good,138,0,1,98860972
no,M,58,Upper Age,loyal,biz,premium,Poor,Poor,Acceptable,Poor,Poor,245,0,0,98860973
no,M,41,Middle,loyal,biz,premium,Poor,Good,Poor,Good,Poor,156,0,0,98860974
no,F,33,Middle,loyal,pers,premium,Good,Good,Acceptable,Poor,Good,223,17,0,98860975
yes,M,34,Middle,loyal,biz,premium,Good,Good,Good,Acceptable,Good,81,20,1,98860976
yes,M,58,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,260,0,1,98860978
no,M,49,Upper Age,loyal,biz,regular,Good,Good,Good,Acceptable,Good,140,19,0,98860979
no,M,41,Middle,loyal,pers,premium,Good,Good,Good,Acceptable,Acceptable,222,0,0,98860982
no,M,69,Elder,loyal,pers,premium,Acceptable,Acceptable,Good,Poor,Good,317,0,0,98860984
no,F,40,Middle,infrequent,biz,regular,Poor,Poor,Acceptable,Poor,Acceptable,139,0,0,98860986
yes,F,25,Young Adult,loyal,biz,premium,Acceptable,Good,Acceptable,Good,Good,480,10,1,98860987
yes,M,51,Upper Age,loyal,biz,regular,Good,Good,Poor,Good,Poor,340,62,1,98860990
no,M,23,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Good,Good,237,0,0,98860992
no,M,24,Young Adult,loyal,pers,regular,Poor,Poor,Poor,Poor,Good,243,81,0,98860995
yes,M,44,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,231,18,1,98861000
yes,F,45,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,127,0,1,98861003
yes,F,57,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,116,1,1,98861004
no,M,37,Middle,loyal,pers,premium,Acceptable,Acceptable,Good,Good,Good,198,0,0,98861007
no,M,39,Middle,loyal,biz,premium,Poor,Poor,Poor,Poor,Poor,201,0,0,98861010
yes,F,42,Middle,loyal,biz,premium,Poor,Poor,Poor,Good,Poor,81,27,1,98861011
yes,M,59,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,174,0,1,98861014
yes,F,33,Middle,loyal,pers,regular,Good,Good,Good,Poor,Good,210,0,1,98861019
no,F,38,Middle,infrequent,biz,premium,Good,Good,Acceptable,Good,Poor,140,65,0,98861020
no,M,47,Upper Age,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Poor,170,16,0,98861021
no,M,38,Middle,loyal,biz,premium,Poor,Poor,Acceptable,Poor,Poor,187,6,0,98861024
no,F,18,Young Adult,infrequent,biz,premium,Good,Good,Acceptable,Poor,Poor,175,0,0,98861025
yes,F,28,Young Adult,loyal,biz,regular,Good,Good,Good,Acceptable,Good,312,178,1,98861028
no,M,31,Middle,loyal,pers,premium,Poor,Poor,Poor,Poor,Good,203,37,0,98861030
no,M,69,Elder,loyal,pers,regular,Poor,Poor,Good,Poor,Good,141,10,0,98861034
no,M,34,Middle,loyal,pers,regular,Acceptable,Acceptable,Poor,Poor,Poor,200,5,0,98861035
yes,M,54,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,231,0,1,98861036
yes,F,27,Young Adult,infrequent,biz,regular,Good,Good,Good,Poor,Good,176,0,1,98861037
yes,M,23,Young Adult,infrequent,biz,premium,Poor,Poor,Good,Good,Good,169,0,1,98861042
yes,F,59,Upper Age,loyal,pers,premium,Good,Good,Good,Good,Good,63,0,1,98861043
yes,M,29,Young Adult,loyal,biz,regular,Poor,Poor,Good,Good,Good,300,10,1,98861045
no,F,30,Middle,infrequent,biz,regular,Poor,Poor,Good,Poor,Acceptable,145,0,0,98861048
yes,F,18,Young Adult,loyal,pers,regular,Poor,Good,Good,Good,Good,318,0,1,98861049
yes,F,47,Upper Age,loyal,biz,regular,Poor,Poor,Good,Good,Good,190,0,1,98861052
yes,M,47,Upper Age,loyal,biz,regular,Good,Good,Acceptable,Good,Acceptable,207,259,1,98861054
no,F,52,Upper Age,loyal,biz,premium,Poor,Acceptable,Poor,Acceptable,Poor,333,0,0,98861056
no,F,27,Young Adult,loyal,pers,premium,Acceptable,Good,Good,Good,Acceptable,377,236,0,98861058
no,F,26,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,252,72,0,98861060
yes,M,57,Upper Age,infrequent,biz,premium,Good,Good,Good,Poor,Good,152,0,1,98861065
yes,F,37,Middle,loyal,biz,regular,Good,Good,Good,Good,Good,398,52,1,98861069
no,F,33,Middle,infrequent,biz,regular,Poor,Poor,Good,Good,Acceptable,146,0,0,98861071
no,M,23,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Good,Poor,Poor,243,121,0,98861074
yes,M,35,Middle,loyal,biz,regular,Poor,Acceptable,Good,Good,Good,70,3,1,98861077
no,M,40,Middle,loyal,biz,premium,Good,Poor,Good,Good,Poor,175,17,0,98861078
no,F,28,Young Adult,loyal,biz,premium,Poor,Acceptable,Acceptable,Poor,Acceptable,223,0,0,98861079
yes,M,39,Middle,loyal,biz,premium,Poor,Poor,Acceptable,Good,Acceptable,396,0,1,98861081
yes,M,60,Elder,loyal,biz,premium,Poor,Poor,Good,Good,Good,193,101,1,98861084
no,F,36,Middle,infrequent,biz,regular,Poor,Poor,Acceptable,Good,Poor,298,94,0,98861091
no,M,60,Elder,loyal,pers,regular,Poor,Poor,Good,Poor,Poor,208,0,0,98861092
yes,F,22,Young Adult,loyal,pers,regular,Poor,Poor,Good,Acceptable,Acceptable,164,0,1,98861095
no,F,20,Young Adult,loyal,pers,regular,Good,Good,Poor,Poor,Poor,219,14,0,98861096
yes,M,40,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Good,212,0,1,98861098
no,F,33,Middle,loyal,pers,regular,Good,Good,Good,Poor,Poor,137,51,0,98861100
no,F,20,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Good,Poor,Good,241,0,0,98861103
no,M,48,Upper Age,loyal,biz,premium,Good,Poor,Good,Good,Acceptable,237,0,0,98861104
yes,F,57,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,55,44,1,98861105
no,M,23,Young Adult,loyal,pers,premium,Acceptable,Acceptable,Acceptable,Poor,Good,115,86,0,98861106
yes,F,33,Middle,loyal,biz,regular,Good,Acceptable,Good,Good,Good,73,0,1,98861111
yes,F,33,Middle,loyal,biz,regular,Good,Good,Good,Good,Acceptable,171,6,1,98861113
no,M,25,Young Adult,loyal,pers,regular,Poor,Poor,Good,Good,Poor,219,0,0,98861114
no,M,65,Elder,loyal,biz,premium,Good,Good,Good,Good,Good,172,0,0,98861115
yes,F,20,Young Adult,loyal,pers,regular,Good,Good,Good,Good,Good,274,0,1,98861117
no,F,36,Middle,loyal,biz,regular,Poor,Good,Acceptable,Poor,Poor,132,0,0,98861118
yes,F,20,Young Adult,infrequent,biz,premium,Good,Good,Good,Acceptable,Good,216,10,1,98861121
yes,M,25,Young Adult,infrequent,biz,premium,Good,Good,Good,Good,Poor,246,0,1,98861122
yes,F,45,Middle,loyal,biz,regular,Poor,Poor,Acceptable,Good,Acceptable,201,0,1,98861124
no,M,69,Elder,loyal,pers,premium,Poor,Poor,Good,Poor,Acceptable,197,11,0,98861125
yes,F,39,Middle,loyal,pers,premium,Good,Good,Good,Poor,Good,182,178,1,98861126
no,M,67,Elder,loyal,biz,regular,Acceptable,Good,Acceptable,Acceptable,Acceptable,145,113,0,98861127
yes,M,25,Young Adult,loyal,biz,premium,Good,Good,Good,Good,Acceptable,151,0,1,98861129
yes,M,36,Middle,loyal,biz,premium,Poor,Good,Good,Good,Good,237,2,1,98861133
yes,M,60,Elder,loyal,biz,regular,Acceptable,Acceptable,Poor,Good,Poor,196,9,1,98861136
no,M,24,Young Adult,loyal,biz,premium,Good,Poor,Acceptable,Good,Acceptable,287,41,0,98861138
yes,F,57,Upper Age,loyal,pers,regular,Poor,Poor,Poor,Good,Poor,80,0,1,98861143
yes,F,36,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,191,0,1,98861144
yes,M,52,Upper Age,loyal,biz,regular,Acceptable,Poor,Good,Good,Good,334,4,1,98861145
yes,F,43,Middle,infrequent,biz,regular,Good,Good,Good,Poor,Acceptable,164,0,1,98861150
yes,M,44,Middle,loyal,biz,premium,Poor,Poor,Acceptable,Good,Acceptable,94,1,1,98861152
no,F,39,Middle,infrequent,biz,regular,Acceptable,Acceptable,Good,Acceptable,Good,357,0,0,98861154
yes,F,49,Upper Age,loyal,biz,regular,Good,Good,Good,Good,Good,92,0,1,98861155
no,M,28,Young Adult,loyal,pers,regular,Good,Good,Good,Good,Acceptable,190,120,0,98861158
yes,M,57,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,362,0,1,98861159
no,F,25,Young Adult,infrequent,biz,premium,Poor,Acceptable,Poor,Poor,Poor,238,0,0,98861160
no,F,35,Middle,loyal,biz,premium,Acceptable,Poor,Good,Acceptable,Acceptable,130,67,0,98861163
yes,M,51,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,144,0,1,98861164
yes,M,56,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,296,10,1,98861165
yes,F,44,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,336,17,1,98861169
yes,F,58,Upper Age,loyal,pers,regular,Acceptable,Acceptable,Poor,Good,Poor,78,0,1,98861170
yes,M,46,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,72,3,1,98861174
no,M,30,Middle,loyal,pers,regular,Poor,Poor,Good,Acceptable,Good,130,4,0,98861175
yes,F,33,Middle,loyal,pers,regular,Poor,Poor,Good,Good,Good,266,0,1,98861177
yes,M,49,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,94,145,1,98861178
no,F,24,Young Adult,infrequent,biz,regular,Acceptable,Acceptable,Good,Good,Poor,153,130,0,98861179
yes,F,42,Middle,loyal,biz,premium,Poor,Poor,Good,Poor,Good,229,0,1,98861180
yes,F,42,Middle,loyal,biz,premium,Acceptable,Acceptable,Good,Good,Good,352,32,1,98861181
yes,F,34,Middle,loyal,biz,regular,Acceptable,Poor,Good,Good,Good,213,0,1,98861187
no,F,38,Middle,loyal,biz,premium,Acceptable,Good,Acceptable,Good,Acceptable,118,0,0,98861189
