,Gender,Age,Age_Group,Customer_Type,Type_Travel,Seat_Class,Travel_Distance(km),delay(seconds),ID
36566,F,55,Upper Age,loyal,pers,premium,200,1,98836567
36567,F,42,Middle,loyal,pers,premium,78,0,98836568
36568,F,41,Middle,loyal,biz,premium,130,43,98836569
36571,M,66,Elder,loyal,pers,premium,166,0,98836572
36572,M,31,Middle,loyal,pers,premium,219,0,98836573
36573,F,33,Middle,loyal,pers,premium,177,55,98836574
36575,F,60,Elder,loyal,pers,premium,54,0,98836576
36578,M,25,Young Adult,loyal,biz,premium,247,21,98836579
36581,F,37,Middle,loyal,biz,regular,159,0,98836582
36583,M,31,Middle,loyal,biz,regular,309,4,98836584
36584,M,41,Middle,loyal,biz,premium,266,0,98836585
36585,F,38,Middle,loyal,biz,premium,68,4,98836586
36587,M,57,Upper Age,loyal,biz,regular,376,7,98836588
36588,F,19,Young Adult,loyal,pers,regular,291,21,98836589
36591,F,36,Middle,loyal,biz,premium,54,0,98836592
36592,M,28,Young Adult,loyal,biz,regular,207,116,98836593
36595,M,54,Upper Age,loyal,biz,premium,242,0,98836596
36596,M,61,Elder,loyal,pers,regular,233,0,98836597
36599,F,36,Middle,loyal,biz,premium,364,0,98836600
36600,F,30,Middle,infrequent,biz,regular,240,0,98836601
36602,F,31,Middle,loyal,biz,premium,485,0,98836603
36604,M,28,Young Adult,loyal,biz,regular,145,0,98836605
36605,F,25,Young Adult,loyal,biz,regular,285,0,98836606
36607,M,33,Middle,infrequent,biz,premium,158,0,98836608
36609,M,59,Upper Age,loyal,pers,regular,112,0,98836610
36610,F,49,Upper Age,loyal,biz,premium,222,0,98836611
36615,M,50,Upper Age,loyal,pers,regular,260,6,98836616
36616,M,47,Upper Age,loyal,biz,regular,396,9,98836617
36619,F,41,Middle,loyal,biz,regular,249,0,98836620
36621,F,23,Young Adult,infrequent,biz,regular,218,49,98836622
36622,M,37,Middle,infrequent,biz,regular,262,118,98836623
36623,M,28,Young Adult,infrequent,biz,regular,196,12,98836624
36628,M,55,Upper Age,loyal,biz,regular,188,140,98836629
36630,F,28,Young Adult,loyal,biz,premium,117,6,98836631
36632,F,60,Elder,loyal,biz,premium,178,4,98836633
36636,F,35,Middle,loyal,biz,regular,101,191,98836637
36637,M,23,Young Adult,loyal,pers,premium,222,0,98836638
36638,F,24,Young Adult,loyal,pers,premium,152,0,98836639
36639,M,55,Upper Age,loyal,pers,regular,133,3,98836640
36640,M,50,Upper Age,loyal,pers,premium,140,0,98836641
36641,F,45,Middle,loyal,biz,premium,284,9,98836642
36643,F,36,Middle,infrequent,biz,regular,141,0,98836644
36644,M,67,Elder,loyal,pers,premium,132,0,98836645
36645,F,59,Upper Age,loyal,biz,premium,392,0,98836646
36646,M,45,Middle,loyal,pers,regular,163,17,98836647
36647,F,36,Middle,loyal,pers,regular,197,0,98836648
36648,F,32,Middle,loyal,pers,premium,220,3,98836649
36651,F,37,Middle,infrequent,biz,regular,396,0,98836652
36652,F,32,Middle,loyal,pers,regular,188,0,98836653
36656,M,52,Upper Age,loyal,pers,regular,116,129,98836657
36658,M,23,Young Adult,infrequent,biz,regular,242,11,98836659
36659,F,21,Young Adult,loyal,pers,regular,175,0,98836660
36662,F,70,Elder,loyal,pers,premium,77,0,98836663
36665,M,44,Middle,loyal,biz,regular,130,44,98836666
36666,F,24,Young Adult,infrequent,biz,regular,190,44,98836667
36668,M,67,Elder,loyal,pers,regular,216,75,98836669
36670,F,40,Middle,loyal,biz,premium,94,0,98836671
36671,M,54,Upper Age,loyal,pers,regular,153,36,98836672
36672,F,30,Middle,loyal,pers,regular,207,25,98836673
36674,M,57,Upper Age,loyal,biz,regular,170,20,98836675
36677,M,51,Upper Age,loyal,pers,premium,168,38,98836678
36679,F,49,Upper Age,loyal,pers,regular,89,26,98836680
36680,F,55,Upper Age,loyal,biz,regular,62,0,98836681
36681,F,56,Upper Age,loyal,biz,regular,332,22,98836682
36691,F,53,Upper Age,loyal,biz,premium,280,0,98836692
36693,M,31,Middle,loyal,pers,premium,211,0,98836694
36695,F,51,Upper Age,loyal,biz,premium,71,0,98836696
36696,M,32,Middle,loyal,pers,premium,203,132,98836697
36699,F,41,Middle,loyal,biz,regular,127,6,98836700
36700,F,49,Upper Age,infrequent,biz,regular,180,0,98836701
36701,F,59,Upper Age,loyal,biz,regular,215,1,98836702
36702,M,26,Young Adult,loyal,biz,premium,415,0,98836703
36703,M,49,Upper Age,infrequent,biz,regular,118,0,98836704
36705,F,46,Upper Age,loyal,biz,regular,174,3,98836706
36708,F,36,Middle,loyal,pers,premium,160,217,98836709
36709,M,51,Upper Age,loyal,pers,premium,206,119,98836710
36710,F,37,Middle,loyal,biz,regular,146,67,98836711
36711,M,55,Upper Age,loyal,pers,premium,184,0,98836712
36712,F,50,Upper Age,loyal,biz,regular,153,4,98836713
36714,M,36,Middle,infrequent,biz,premium,103,20,98836715
36716,M,24,Young Adult,loyal,biz,regular,472,6,98836717
36718,M,30,Middle,loyal,biz,premium,346,2,98836719
36719,M,44,Middle,loyal,pers,regular,111,0,98836720
36720,M,40,Middle,loyal,biz,premium,246,0,98836721
36722,M,25,Young Adult,loyal,biz,regular,185,10,98836723
36727,F,66,Elder,loyal,pers,premium,116,0,98836728
36732,F,48,Upper Age,loyal,biz,premium,362,2,98836733
36734,F,18,Young Adult,loyal,pers,regular,116,5,98836735
36735,F,23,Young Adult,loyal,pers,regular,168,0,98836736
36738,F,34,Middle,loyal,biz,regular,150,2,98836739
36739,F,24,Young Adult,infrequent,biz,premium,220,3,98836740
36742,M,59,Upper Age,loyal,biz,premium,270,0,98836743
36745,M,43,Middle,loyal,biz,regular,266,0,98836746
36746,F,40,Middle,loyal,biz,regular,354,0,98836747
36747,F,37,Middle,infrequent,biz,premium,188,3,98836748
36749,M,56,Upper Age,loyal,pers,premium,224,151,98836750
36754,M,40,Middle,loyal,biz,regular,56,2,98836755
36755,M,40,Middle,loyal,biz,premium,164,48,98836756
36757,F,26,Young Adult,infrequent,biz,premium,178,0,98836758
36758,F,56,Upper Age,loyal,biz,regular,275,0,98836759
36759,M,49,Upper Age,loyal,biz,premium,318,164,98836760
36760,M,24,Young Adult,loyal,pers,regular,121,0,98836761
36761,F,20,Young Adult,loyal,pers,premium,163,0,98836762
36767,M,36,Middle,loyal,biz,regular,56,0,98836768
36768,F,25,Young Adult,infrequent,biz,premium,294,0,98836769
36771,M,40,Middle,loyal,biz,premium,237,4,98836772
36772,M,25,Young Adult,infrequent,biz,premium,216,0,98836773
36774,F,36,Middle,infrequent,biz,premium,215,15,98836775
36779,M,70,Elder,loyal,biz,regular,174,0,98836780
36784,M,36,Middle,infrequent,biz,premium,205,0,98836785
36786,F,40,Middle,loyal,pers,premium,193,29,98836787
36788,M,25,Young Adult,loyal,biz,premium,237,26,98836789
36790,F,26,Young Adult,loyal,pers,regular,210,41,98836791
36791,M,37,Middle,loyal,pers,premium,238,0,98836792
36792,M,60,Elder,loyal,biz,regular,230,0,98836793
36793,M,64,Elder,loyal,pers,premium,204,0,98836794
36795,F,52,Upper Age,loyal,biz,premium,173,35,98836796
36796,F,61,Elder,loyal,biz,regular,375,0,98836797
36797,F,28,Young Adult,infrequent,biz,premium,181,0,98836798
36799,M,44,Middle,loyal,biz,premium,310,30,98836800
36801,F,43,Middle,loyal,biz,regular,399,2,98836802
36802,M,45,Middle,loyal,biz,regular,142,41,98836803
36805,M,38,Middle,infrequent,biz,regular,132,195,98836806
36807,F,55,Upper Age,infrequent,biz,premium,172,3,98836808
36810,M,48,Upper Age,loyal,biz,regular,344,0,98836811
36812,F,49,Upper Age,loyal,biz,regular,148,4,98836813
36813,F,41,Middle,loyal,biz,regular,399,0,98836814
36814,F,57,Upper Age,loyal,biz,premium,336,21,98836815
36815,F,59,Upper Age,infrequent,biz,regular,113,81,98836816
36816,F,57,Upper Age,loyal,biz,regular,142,0,98836817
36819,M,38,Middle,loyal,biz,premium,359,223,98836820
36825,M,35,Middle,infrequent,biz,premium,279,0,98836826
36826,F,31,Middle,loyal,biz,premium,164,0,98836827
36827,F,45,Middle,loyal,pers,regular,112,1,98836828
36828,F,43,Middle,loyal,biz,premium,349,11,98836829
36829,M,58,Upper Age,infrequent,biz,premium,181,1,98836830
36831,F,49,Upper Age,loyal,biz,premium,163,0,98836832
36832,M,53,Upper Age,loyal,biz,premium,234,0,98836833
36833,F,37,Middle,loyal,pers,regular,170,13,98836834
36838,F,25,Young Adult,infrequent,biz,regular,174,0,98836839
36839,F,62,Elder,loyal,pers,regular,140,123,98836840
36843,F,38,Middle,loyal,pers,premium,151,0,98836844
36850,M,38,Middle,infrequent,biz,regular,182,0,98836851
36852,F,27,Young Adult,infrequent,biz,premium,213,0,98836853
36853,F,61,Elder,loyal,biz,regular,353,8,98836854
36856,M,43,Middle,loyal,pers,premium,189,0,98836857
36864,F,44,Middle,loyal,pers,regular,117,21,98836865
36865,M,22,Young Adult,infrequent,biz,regular,210,123,98836866
36869,F,60,Elder,loyal,pers,regular,103,0,98836870
36872,F,67,Elder,loyal,pers,premium,92,0,98836873
36873,F,32,Middle,loyal,biz,regular,286,10,98836874
36877,F,36,Middle,loyal,biz,regular,156,1,98836878
36881,M,49,Upper Age,loyal,biz,regular,50,0,98836882
36883,M,53,Upper Age,loyal,biz,regular,294,0,98836884
36884,F,27,Young Adult,loyal,pers,regular,132,21,98836885
36885,M,55,Upper Age,loyal,pers,premium,381,0,98836886
36889,M,70,Elder,loyal,pers,regular,324,21,98836890
36890,M,62,Elder,loyal,biz,premium,179,23,98836891
36892,M,48,Upper Age,loyal,biz,premium,192,28,98836893
36894,M,22,Young Adult,loyal,pers,premium,167,0,98836895
36895,F,26,Young Adult,infrequent,biz,premium,182,14,98836896
36898,F,51,Upper Age,loyal,biz,regular,69,3,98836899
36899,M,43,Middle,loyal,biz,regular,169,0,98836900
36900,M,57,Upper Age,loyal,biz,premium,70,0,98836901
36903,M,38,Middle,loyal,pers,regular,195,14,98836904
36909,M,18,Young Adult,loyal,pers,regular,104,3,98836910
36910,M,20,Young Adult,infrequent,biz,premium,164,0,98836911
36911,M,59,Upper Age,loyal,biz,regular,239,0,98836912
36912,M,48,Upper Age,loyal,biz,regular,140,0,98836913
36914,M,39,Middle,loyal,biz,regular,221,0,98836915
36917,F,40,Middle,loyal,biz,regular,250,104,98836918
36918,F,51,Upper Age,loyal,pers,premium,78,0,98836919
36919,F,21,Young Adult,loyal,biz,premium,231,7,98836920
36922,M,32,Middle,loyal,biz,regular,372,34,98836923
36928,F,33,Middle,infrequent,biz,regular,148,19,98836929
36931,F,51,Upper Age,loyal,pers,premium,134,6,98836932
36937,M,44,Middle,loyal,pers,regular,197,0,98836938
36940,F,34,Middle,infrequent,biz,premium,354,12,98836941
36948,F,34,Middle,loyal,biz,regular,193,3,98836949
36951,F,52,Upper Age,loyal,biz,regular,380,0,98836952
36952,M,46,Upper Age,loyal,biz,regular,190,0,98836953
36953,M,22,Young Adult,infrequent,biz,premium,230,7,98836954
36954,F,47,Upper Age,loyal,biz,regular,153,199,98836955
36956,M,36,Middle,infrequent,biz,regular,92,0,98836957
36957,M,47,Upper Age,loyal,biz,premium,314,0,98836958
36959,M,57,Upper Age,infrequent,biz,premium,173,0,98836960
36960,M,31,Middle,infrequent,biz,regular,270,58,98836961
36961,M,22,Young Adult,infrequent,biz,regular,161,1,98836962
36962,F,26,Young Adult,loyal,pers,regular,150,0,98836963
36963,F,39,Middle,infrequent,biz,premium,160,1,98836964
36964,F,19,Young Adult,loyal,biz,regular,452,6,98836965
36965,F,52,Upper Age,loyal,biz,premium,200,2,98836966
36970,F,64,Elder,loyal,biz,regular,238,0,98836971
36978,F,23,Young Adult,infrequent,biz,premium,233,22,98836979
36981,M,37,Middle,infrequent,biz,premium,162,0,98836982
36984,M,42,Middle,loyal,biz,regular,90,0,98836985
36987,F,27,Young Adult,loyal,pers,premium,200,13,98836988
36989,M,23,Young Adult,infrequent,biz,regular,297,211,98836990
36990,F,25,Young Adult,loyal,biz,regular,173,46,98836991
36994,M,25,Young Adult,loyal,pers,premium,195,25,98836995
36995,F,20,Young Adult,loyal,pers,regular,221,10,98836996
36998,M,64,Elder,loyal,pers,premium,276,2,98836999
37002,M,27,Young Adult,loyal,biz,premium,265,0,98837003
37005,F,44,Middle,loyal,biz,premium,84,0,98837006
37007,M,26,Young Adult,infrequent,biz,regular,235,67,98837008
37008,F,19,Young Adult,loyal,pers,regular,192,0,98837009
37010,F,48,Upper Age,loyal,biz,premium,68,0,98837011
37012,F,43,Middle,loyal,biz,premium,227,5,98837013
37014,F,53,Upper Age,loyal,biz,premium,394,38,98837015
37016,F,42,Middle,loyal,biz,premium,105,0,98837017
37020,F,20,Young Adult,infrequent,biz,premium,161,0,98837021
37021,M,68,Elder,loyal,pers,premium,209,27,98837022
37022,F,64,Elder,loyal,pers,regular,77,114,98837023
37023,F,20,Young Adult,loyal,pers,premium,186,0,98837024
37024,F,60,Elder,loyal,biz,premium,178,12,98837025
37027,F,44,Middle,loyal,biz,regular,56,36,98837028
37028,M,32,Middle,loyal,biz,premium,287,0,98837029
37029,M,39,Middle,loyal,biz,premium,182,8,98837030
37030,M,57,Upper Age,loyal,biz,regular,174,0,98837031
37035,M,57,Upper Age,loyal,pers,premium,211,0,98837036
37038,M,19,Young Adult,loyal,pers,premium,202,0,98837039
37039,F,39,Middle,loyal,biz,regular,178,0,98837040
37043,M,65,Elder,loyal,pers,regular,202,0,98837044
37049,M,39,Middle,infrequent,biz,regular,232,59,98837050
37052,F,59,Upper Age,loyal,biz,regular,345,89,98837053
37054,F,51,Upper Age,loyal,biz,premium,224,13,98837055
37057,F,22,Young Adult,infrequent,biz,regular,232,0,98837058
37058,F,59,Upper Age,loyal,pers,regular,130,24,98837059
37059,F,39,Middle,infrequent,biz,regular,232,9,98837060
37060,M,23,Young Adult,loyal,biz,premium,256,0,98837061
37063,F,29,Young Adult,loyal,biz,regular,457,0,98837064
37064,F,44,Middle,loyal,biz,premium,149,19,98837065
37065,F,58,Upper Age,loyal,biz,premium,234,0,98837066
37069,M,29,Young Adult,loyal,pers,premium,185,0,98837070
37071,M,46,Upper Age,loyal,biz,regular,292,0,98837072
37073,F,28,Young Adult,loyal,biz,premium,496,118,98837074
37074,F,62,Elder,loyal,biz,regular,172,245,98837075
37078,F,46,Upper Age,loyal,biz,regular,213,0,98837079
37081,F,43,Middle,loyal,biz,premium,273,0,98837082
37089,F,57,Upper Age,loyal,biz,regular,230,1,98837090
37090,M,25,Young Adult,loyal,biz,premium,152,226,98837091
37091,M,24,Young Adult,infrequent,biz,premium,205,0,98837092
37092,M,37,Middle,infrequent,biz,regular,146,0,98837093
37094,M,60,Elder,loyal,pers,premium,168,0,98837095
37095,F,22,Young Adult,loyal,biz,regular,131,0,98837096
37097,M,55,Upper Age,infrequent,biz,regular,124,51,98837098
37098,F,28,Young Adult,loyal,pers,regular,251,101,98837099
37099,F,44,Middle,loyal,pers,premium,51,0,98837100
37100,F,34,Middle,infrequent,biz,premium,196,65,98837101
37106,M,59,Upper Age,loyal,pers,premium,256,62,98837107
37108,F,37,Middle,loyal,biz,premium,181,160,98837109
37116,F,37,Middle,loyal,biz,regular,220,31,98837117
37118,M,47,Upper Age,loyal,biz,regular,194,23,98837119
37120,M,63,Elder,loyal,biz,premium,182,0,98837121
37122,M,20,Young Adult,loyal,pers,regular,148,0,98837123
37123,F,28,Young Adult,infrequent,biz,regular,214,37,98837124
37127,F,56,Upper Age,loyal,biz,premium,267,170,98837128
37129,F,47,Upper Age,loyal,biz,premium,131,4,98837130
37130,M,57,Upper Age,loyal,biz,premium,176,15,98837131
37131,F,52,Upper Age,loyal,biz,premium,60,2,98837132
37132,F,41,Middle,infrequent,biz,premium,201,25,98837133
37133,F,18,Young Adult,infrequent,biz,regular,191,0,98837134
37134,M,37,Middle,loyal,biz,regular,218,23,98837135
37135,M,43,Middle,loyal,biz,regular,178,0,98837136
37137,M,41,Middle,loyal,pers,regular,141,0,98837138
37138,F,23,Young Adult,loyal,pers,premium,414,31,98837139
37139,M,29,Young Adult,loyal,biz,premium,294,5,98837140
37140,F,79,Elder,infrequent,biz,regular,269,0,98837141
37142,F,38,Middle,loyal,biz,regular,184,0,98837143
37145,F,39,Middle,infrequent,biz,regular,157,0,98837146
37146,F,68,Elder,loyal,pers,regular,76,119,98837147
37149,M,66,Elder,loyal,pers,premium,200,1,98837150
37150,M,51,Upper Age,loyal,biz,regular,77,27,98837151
37152,M,57,Upper Age,loyal,biz,regular,296,36,98837153
37154,M,66,Elder,loyal,biz,regular,370,0,98837155
37155,F,40,Middle,loyal,biz,premium,349,136,98837156
37156,M,70,Elder,loyal,pers,regular,143,150,98837157
37157,M,40,Middle,loyal,biz,premium,192,2,98837158
37158,F,27,Young Adult,infrequent,biz,premium,228,3,98837159
37160,M,32,Middle,loyal,biz,regular,168,0,98837161
37161,M,58,Upper Age,loyal,biz,premium,51,0,98837162
37169,M,48,Upper Age,loyal,biz,premium,74,11,98837170
37170,M,53,Upper Age,loyal,pers,premium,153,3,98837171
37173,M,43,Middle,loyal,biz,premium,185,5,98837174
37175,F,28,Young Adult,infrequent,biz,regular,185,17,98837176
37177,M,52,Upper Age,loyal,biz,premium,332,16,98837178
37178,F,27,Young Adult,loyal,pers,regular,297,37,98837179
37185,F,38,Middle,loyal,pers,regular,237,0,98837186
37186,M,40,Middle,loyal,biz,premium,66,5,98837187
37187,M,39,Middle,loyal,biz,regular,244,15,98837188
37188,M,27,Young Adult,loyal,pers,regular,251,0,98837189
37190,M,57,Upper Age,loyal,biz,regular,294,22,98837191
37192,F,41,Middle,loyal,biz,premium,50,60,98837193
37193,F,40,Middle,loyal,biz,regular,202,0,98837194
37196,F,49,Upper Age,loyal,pers,regular,62,9,98837197
37198,M,38,Middle,loyal,biz,premium,162,0,98837199
37199,M,42,Middle,infrequent,biz,premium,114,47,98837200
37200,F,27,Young Adult,infrequent,biz,premium,166,0,98837201
37201,M,47,Upper Age,loyal,biz,premium,139,72,98837202
37202,M,42,Middle,loyal,biz,premium,78,7,98837203
37204,F,39,Middle,loyal,biz,premium,262,0,98837205
37206,M,58,Upper Age,loyal,pers,premium,212,118,98837207
37208,F,57,Upper Age,loyal,pers,premium,75,16,98837209
37209,F,38,Middle,loyal,biz,regular,343,5,98837210
37210,M,43,Middle,loyal,biz,premium,107,29,98837211
37213,F,54,Upper Age,loyal,biz,premium,80,7,98837214
37218,F,39,Middle,loyal,biz,premium,186,0,98837219
37221,M,51,Upper Age,loyal,biz,regular,211,1,98837222
37223,F,49,Upper Age,loyal,pers,premium,124,9,98837224
37224,M,43,Middle,loyal,biz,premium,96,55,98837225
37226,F,35,Middle,loyal,biz,regular,96,0,98837227
37227,F,41,Middle,loyal,pers,premium,252,16,98837228
37228,M,43,Middle,loyal,biz,regular,148,12,98837229
37233,M,45,Middle,loyal,biz,regular,352,0,98837234
37234,M,25,Young Adult,loyal,biz,regular,220,27,98837235
37237,M,28,Young Adult,loyal,biz,regular,336,23,98837238
37241,F,27,Young Adult,loyal,biz,premium,371,0,98837242
37245,F,27,Young Adult,loyal,biz,premium,334,97,98837246
37246,M,43,Middle,loyal,biz,premium,175,15,98837247
37247,M,29,Young Adult,loyal,pers,regular,319,8,98837248
37248,F,53,Upper Age,loyal,biz,premium,265,0,98837249
37250,F,40,Middle,loyal,pers,premium,376,18,98837251
37253,M,52,Upper Age,infrequent,biz,regular,156,0,98837254
37257,F,36,Middle,loyal,pers,premium,259,115,98837258
37258,M,59,Upper Age,loyal,biz,premium,173,11,98837259
37259,F,31,Middle,loyal,pers,regular,233,0,98837260
37261,F,37,Middle,infrequent,biz,premium,348,2,98837262
37262,F,29,Young Adult,loyal,biz,regular,150,0,98837263
37263,M,37,Middle,loyal,biz,regular,199,0,98837264
37265,F,57,Upper Age,loyal,biz,premium,250,0,98837266
37266,M,36,Middle,loyal,pers,regular,256,0,98837267
37267,F,55,Upper Age,loyal,pers,premium,113,0,98837268
37269,F,42,Middle,loyal,biz,premium,275,0,98837270
37271,F,30,Middle,loyal,pers,premium,164,0,98837272
37272,M,27,Young Adult,infrequent,biz,premium,105,68,98837273
37274,M,34,Middle,loyal,biz,premium,316,56,98837275
37275,F,41,Middle,loyal,biz,premium,155,30,98837276
37277,F,48,Upper Age,loyal,biz,premium,82,12,98837278
37280,M,54,Upper Age,loyal,biz,regular,309,108,98837281
37281,F,31,Middle,loyal,biz,regular,164,0,98837282
37282,F,38,Middle,loyal,biz,regular,358,13,98837283
37285,F,18,Young Adult,loyal,pers,regular,159,0,98837286
37290,F,56,Upper Age,loyal,biz,premium,354,8,98837291
37296,M,62,Elder,loyal,pers,regular,92,0,98837297
37297,F,41,Middle,loyal,biz,premium,250,4,98837298
37298,M,53,Upper Age,loyal,biz,regular,166,19,98837299
37300,F,27,Young Adult,loyal,biz,premium,390,176,98837301
37301,M,57,Upper Age,loyal,biz,regular,66,0,98837302
37302,F,36,Middle,loyal,biz,premium,160,25,98837303
37303,F,55,Upper Age,infrequent,biz,regular,172,0,98837304
37309,F,30,Middle,infrequent,biz,premium,165,0,98837310
37313,M,40,Middle,loyal,biz,regular,192,24,98837314
37314,M,43,Middle,loyal,pers,premium,325,13,98837315
37315,F,24,Young Adult,loyal,pers,regular,218,0,98837316
37316,M,44,Middle,loyal,pers,regular,170,0,98837317
37317,F,56,Upper Age,loyal,biz,regular,59,0,98837318
37319,F,51,Upper Age,loyal,biz,regular,309,86,98837320
37322,M,59,Upper Age,loyal,biz,premium,258,13,98837323
37324,M,64,Elder,loyal,pers,premium,320,11,98837325
37326,M,47,Upper Age,loyal,biz,premium,364,1,98837327
37327,F,43,Middle,loyal,biz,premium,62,0,98837328
37328,F,20,Young Adult,loyal,pers,premium,216,12,98837329
37330,F,26,Young Adult,loyal,pers,premium,191,30,98837331
37331,F,33,Middle,loyal,pers,regular,111,0,98837332
37333,M,57,Upper Age,loyal,biz,regular,313,0,98837334
37335,M,53,Upper Age,loyal,pers,regular,144,0,98837336
37337,M,60,Elder,loyal,pers,premium,202,122,98837338
37339,M,49,Upper Age,loyal,biz,regular,123,0,98837340
37340,M,40,Middle,loyal,biz,premium,380,0,98837341
37343,F,33,Middle,infrequent,biz,premium,191,4,98837344
37344,M,24,Young Adult,infrequent,biz,premium,200,117,98837345
37347,F,58,Upper Age,loyal,biz,regular,56,96,98837348
37349,F,47,Upper Age,loyal,biz,premium,155,0,98837350
37353,F,26,Young Adult,loyal,biz,regular,261,0,98837354
37355,F,24,Young Adult,infrequent,biz,premium,235,3,98837356
37356,F,40,Middle,loyal,pers,regular,314,73,98837357
37357,F,61,Elder,loyal,pers,regular,76,0,98837358
37358,M,58,Upper Age,infrequent,biz,regular,216,89,98837359
37359,M,52,Upper Age,loyal,pers,regular,126,61,98837360
37361,F,39,Middle,loyal,biz,regular,160,0,98837362
37362,M,27,Young Adult,loyal,biz,premium,208,0,98837363
37365,M,70,Elder,loyal,pers,premium,200,1,98837366
37368,M,27,Young Adult,loyal,biz,regular,287,52,98837369
37369,M,37,Middle,loyal,biz,regular,144,6,98837370
37372,F,36,Middle,loyal,pers,premium,192,0,98837373
37374,M,21,Young Adult,loyal,pers,regular,224,34,98837375
37378,F,45,Middle,loyal,biz,premium,315,16,98837379
37379,M,49,Upper Age,loyal,biz,regular,271,25,98837380
37384,F,45,Middle,loyal,biz,premium,219,0,98837385
37385,M,41,Middle,loyal,biz,regular,210,0,98837386
37386,F,46,Upper Age,loyal,biz,regular,161,137,98837387
37388,M,33,Middle,loyal,biz,premium,229,3,98837389
37391,F,42,Middle,loyal,biz,regular,90,188,98837392
37393,F,46,Upper Age,loyal,biz,regular,191,0,98837394
37395,M,47,Upper Age,loyal,biz,regular,229,55,98837396
37399,F,67,Elder,loyal,pers,regular,145,4,98837400
37402,M,53,Upper Age,loyal,pers,regular,219,4,98837403
37405,F,46,Upper Age,loyal,pers,regular,63,0,98837406
37406,M,57,Upper Age,loyal,pers,regular,190,0,98837407
37407,F,30,Middle,infrequent,biz,premium,226,0,98837408
37408,F,24,Young Adult,infrequent,biz,premium,222,29,98837409
37409,M,38,Middle,loyal,pers,premium,220,0,98837410
37411,F,25,Young Adult,infrequent,biz,regular,191,5,98837412
37414,M,33,Middle,loyal,biz,regular,282,24,98837415
37415,M,39,Middle,loyal,pers,regular,197,0,98837416
37416,F,25,Young Adult,infrequent,biz,premium,211,0,98837417
37419,M,43,Middle,loyal,biz,regular,211,0,98837420
37421,F,65,Elder,loyal,biz,premium,110,0,98837422
37422,F,36,Middle,loyal,biz,premium,168,0,98837423
37423,M,55,Upper Age,loyal,pers,premium,356,7,98837424
37424,M,34,Middle,loyal,biz,regular,152,0,98837425
37426,M,30,Middle,loyal,pers,premium,383,0,98837427
37427,F,27,Young Adult,infrequent,biz,premium,120,83,98837428
37429,M,20,Young Adult,infrequent,biz,regular,191,0,98837430
37430,F,49,Upper Age,loyal,biz,premium,387,23,98837431
37433,M,58,Upper Age,loyal,biz,regular,101,0,98837434
37434,M,18,Young Adult,infrequent,biz,regular,124,0,98837435
37438,M,23,Young Adult,infrequent,biz,regular,123,0,98837439
37440,F,24,Young Adult,infrequent,biz,regular,172,96,98837441
37444,F,39,Middle,loyal,pers,premium,180,0,98837445
37445,M,66,Elder,loyal,pers,regular,232,8,98837446
37446,F,38,Middle,loyal,pers,premium,164,0,98837447
37450,M,36,Middle,infrequent,biz,premium,198,49,98837451
37451,F,39,Middle,loyal,biz,premium,358,81,98837452
37452,M,45,Middle,infrequent,biz,regular,222,8,98837453
37453,M,70,Elder,loyal,pers,premium,123,0,98837454
37457,M,21,Young Adult,loyal,biz,regular,159,0,98837458
37458,F,54,Upper Age,loyal,biz,premium,50,0,98837459
37459,M,28,Young Adult,loyal,pers,regular,337,97,98837460
37463,M,35,Middle,infrequent,biz,premium,286,0,98837464
37464,M,45,Middle,loyal,pers,premium,186,2,98837465
37465,F,26,Young Adult,loyal,pers,regular,294,53,98837466
37466,M,28,Young Adult,infrequent,biz,regular,228,0,98837467
37467,F,24,Young Adult,infrequent,biz,regular,143,182,98837468
37471,M,28,Young Adult,loyal,biz,regular,292,32,98837472
37473,F,32,Middle,loyal,biz,premium,166,0,98837474
37474,M,40,Middle,infrequent,biz,regular,189,47,98837475
37477,M,19,Young Adult,loyal,pers,premium,233,0,98837478
37478,F,31,Middle,loyal,biz,premium,297,9,98837479
37481,M,52,Upper Age,loyal,pers,premium,250,0,98837482
37482,M,57,Upper Age,infrequent,biz,regular,85,34,98837483
37483,M,50,Upper Age,loyal,pers,regular,155,0,98837484
37487,M,22,Young Adult,loyal,pers,premium,195,2,98837488
37488,F,38,Middle,infrequent,biz,premium,136,10,98837489
37489,F,31,Middle,loyal,biz,regular,140,21,98837490
37490,F,51,Upper Age,loyal,biz,premium,52,0,98837491
37492,M,35,Middle,loyal,biz,regular,76,4,98837493
37494,F,40,Middle,loyal,biz,regular,324,0,98837495
37496,M,33,Middle,loyal,pers,premium,211,0,98837497
37497,M,47,Upper Age,loyal,biz,regular,96,9,98837498
37498,F,36,Middle,infrequent,biz,regular,262,6,98837499
37500,M,27,Young Adult,loyal,pers,premium,122,0,98837501
37502,M,61,Elder,loyal,biz,premium,165,2,98837503
37506,M,44,Middle,loyal,biz,regular,256,0,98837507
37507,F,40,Middle,loyal,biz,premium,161,78,98837508
37508,F,47,Upper Age,loyal,biz,regular,193,8,98837509
37510,F,39,Middle,loyal,biz,regular,302,104,98837511
37511,F,25,Young Adult,infrequent,biz,regular,239,0,98837512
37512,F,28,Young Adult,loyal,biz,regular,142,96,98837513
37515,F,36,Middle,infrequent,biz,regular,177,10,98837516
37516,M,61,Elder,infrequent,biz,premium,130,2,98837517
