,Satisfied,Seat_Comfort,Catering,Online_Support,Cleanliness,Catering,Onboard_Service,num_sat
39381,yes,Poor,Poor,Good,Good,Poor,Good,1
39382,yes,Good,Good,Poor,Good,Good,Good,1
39384,no,Poor,Poor,Poor,Good,Poor,Poor,0
39387,yes,Poor,Poor,Good,Good,Poor,Good,1
39388,yes,Poor,Poor,Good,Good,Poor,Acceptable,1
39394,yes,Good,Good,Good,Good,Good,Acceptable,1
39396,yes,Good,Good,Good,Good,Good,Good,1
39399,yes,Poor,Poor,Good,Good,Poor,Good,1
39401,yes,Poor,Poor,Good,Poor,Poor,Poor,1
39402,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39403,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
39405,yes,Good,Good,Good,Good,Good,Good,1
39406,yes,Good,Good,Poor,Good,Good,Acceptable,1
39409,no,Good,Poor,Acceptable,Good,Poor,Good,0
39410,yes,Poor,Poor,Good,Good,Poor,Good,1
39413,yes,Poor,Poor,Good,Good,Poor,Good,1
39414,yes,Good,Good,Good,Good,Good,Poor,1
39415,yes,Good,Good,Poor,Good,Good,Good,1
39416,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
39417,no,Poor,Acceptable,Acceptable,Acceptable,Acceptable,Good,0
39418,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
39419,yes,Poor,Poor,Good,Good,Poor,Good,1
39420,no,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,0
39424,no,Acceptable,Acceptable,Good,Poor,Acceptable,Poor,0
39425,yes,Poor,Poor,Good,Good,Poor,Good,1
39426,yes,Good,Good,Good,Good,Good,Good,1
39429,yes,Poor,Poor,Good,Good,Poor,Good,1
39432,yes,Good,Good,Good,Good,Good,Good,1
39433,yes,Good,Good,Good,Good,Good,Acceptable,1
39434,yes,Good,Good,Good,Good,Good,Good,1
39437,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
39440,yes,Good,Good,Good,Good,Good,Good,1
39442,no,Poor,Poor,Good,Acceptable,Poor,Good,0
39443,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
39444,no,Poor,Poor,Good,Good,Poor,Good,0
39447,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Poor,0
39449,no,Poor,Acceptable,Poor,Poor,Acceptable,Poor,0
39453,no,Poor,Poor,Good,Poor,Poor,Acceptable,0
39457,no,Poor,Acceptable,Poor,Good,Acceptable,Poor,0
39458,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
39462,yes,Poor,Poor,Acceptable,Good,Poor,Acceptable,1
39465,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
39466,no,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,0
39468,no,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Acceptable,0
39469,yes,Good,Poor,Good,Good,Poor,Good,1
39471,yes,Good,Acceptable,Good,Acceptable,Acceptable,Good,1
39472,no,Good,Good,Acceptable,Poor,Good,Poor,0
39473,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
39476,yes,Good,Acceptable,Poor,Good,Acceptable,Good,1
39478,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39479,no,Poor,Poor,Poor,Poor,Poor,Acceptable,0
39483,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
39485,no,Poor,Poor,Good,Poor,Poor,Poor,0
39487,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
39494,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,0
39497,yes,Good,Poor,Good,Good,Poor,Good,1
39500,no,Good,Good,Acceptable,Good,Good,Poor,0
39503,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
39505,no,Good,Good,Poor,Good,Good,Acceptable,0
39506,yes,Good,Good,Good,Good,Good,Good,1
39507,no,Poor,Poor,Poor,Good,Poor,Good,0
39513,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
39515,yes,Good,Good,Good,Good,Good,Good,1
39519,yes,Poor,Poor,Poor,Poor,Poor,Acceptable,1
39523,yes,Poor,Good,Acceptable,Good,Good,Good,1
39525,no,Acceptable,Poor,Acceptable,Good,Poor,Poor,0
39526,yes,Poor,Poor,Good,Good,Poor,Good,1
39527,yes,Acceptable,Good,Good,Good,Good,Good,1
39528,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39529,no,Acceptable,Good,Good,Good,Good,Acceptable,0
39531,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
39533,yes,Poor,Poor,Good,Good,Poor,Good,1
39535,no,Acceptable,Good,Acceptable,Good,Good,Poor,0
39536,no,Poor,Poor,Good,Good,Poor,Good,0
39537,yes,Poor,Poor,Good,Poor,Poor,Poor,1
39538,yes,Poor,Poor,Good,Good,Poor,Good,1
39540,no,Good,Acceptable,Poor,Good,Acceptable,Poor,0
39541,no,Good,Good,Good,Acceptable,Good,Acceptable,0
39544,yes,Good,Poor,Poor,Good,Poor,Good,1
39549,yes,Good,Good,Acceptable,Good,Good,Good,1
39550,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
39552,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39555,no,Acceptable,Acceptable,Good,Good,Acceptable,Poor,0
39557,yes,Poor,Poor,Good,Good,Poor,Good,1
39559,yes,Good,Good,Poor,Good,Good,Poor,1
39560,no,Poor,Poor,Good,Poor,Poor,Good,0
39561,yes,Good,Good,Good,Good,Good,Good,1
39564,yes,Good,Good,Poor,Good,Good,Good,1
39565,no,Poor,Poor,Poor,Acceptable,Poor,Acceptable,0
39566,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Poor,0
39568,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
39570,no,Acceptable,Good,Acceptable,Good,Good,Poor,0
39572,no,Acceptable,Good,Acceptable,Acceptable,Good,Acceptable,0
39574,no,Good,Good,Acceptable,Poor,Good,Poor,0
39577,yes,Acceptable,Good,Good,Good,Good,Good,1
39580,no,Poor,Acceptable,Good,Poor,Acceptable,Good,0
39582,no,Poor,Acceptable,Poor,Acceptable,Acceptable,Good,0
39585,no,Poor,Good,Good,Poor,Good,Poor,0
39586,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39589,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Acceptable,0
39592,yes,Poor,Poor,Poor,Good,Poor,Poor,1
39593,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39594,yes,Good,Good,Good,Good,Good,Good,1
39598,no,Good,Good,Good,Good,Good,Poor,0
39602,yes,Good,Good,Good,Good,Good,Good,1
39604,no,Poor,Good,Acceptable,Acceptable,Good,Acceptable,0
39606,yes,Good,Good,Good,Good,Good,Good,1
39607,yes,Good,Good,Acceptable,Good,Good,Good,1
39608,no,Good,Good,Acceptable,Poor,Good,Poor,0
39612,no,Good,Good,Poor,Poor,Good,Poor,0
39613,yes,Good,Good,Poor,Good,Good,Good,1
39614,yes,Good,Good,Acceptable,Good,Good,Good,1
39615,yes,Poor,Poor,Good,Good,Poor,Good,1
39616,yes,Acceptable,Good,Good,Good,Good,Good,1
39617,yes,Poor,Poor,Good,Good,Poor,Good,1
39620,yes,Good,Good,Good,Good,Good,Good,1
39621,yes,Poor,Poor,Good,Good,Poor,Good,1
39622,yes,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Good,1
39625,yes,Poor,Poor,Good,Good,Poor,Good,1
39626,yes,Good,Good,Good,Good,Good,Good,1
39627,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
39631,yes,Good,Good,Acceptable,Good,Good,Good,1
39632,yes,Poor,Poor,Poor,Good,Poor,Good,1
39634,yes,Poor,Poor,Good,Good,Poor,Good,1
39635,yes,Good,Good,Good,Poor,Good,Acceptable,1
39636,no,Poor,Poor,Good,Good,Poor,Good,0
39638,yes,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,1
39639,yes,Good,Poor,Good,Good,Poor,Good,1
39641,no,Poor,Poor,Good,Good,Poor,Acceptable,0
39645,yes,Good,Good,Poor,Good,Good,Good,1
39646,yes,Poor,Poor,Good,Good,Poor,Good,1
39647,yes,Poor,Poor,Good,Good,Poor,Good,1
39649,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
39650,yes,Acceptable,Poor,Good,Good,Poor,Good,1
39652,no,Acceptable,Acceptable,Good,Poor,Acceptable,Good,0
39653,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
39657,no,Poor,Poor,Good,Good,Poor,Good,0
39658,yes,Good,Good,Good,Good,Good,Good,1
39662,yes,Good,Good,Poor,Acceptable,Good,Acceptable,1
39663,yes,Good,Good,Good,Good,Good,Good,1
39665,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39666,yes,Good,Good,Good,Good,Good,Good,1
39670,no,Acceptable,Acceptable,Poor,Good,Acceptable,Poor,0
39671,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Acceptable,0
39678,yes,Good,Good,Acceptable,Poor,Good,Poor,1
39679,yes,Good,Good,Good,Good,Good,Good,1
39680,yes,Good,Good,Good,Good,Good,Acceptable,1
39681,yes,Acceptable,Acceptable,Good,Poor,Acceptable,Poor,1
39682,no,Poor,Poor,Poor,Poor,Poor,Poor,0
39685,no,Poor,Poor,Good,Poor,Poor,Poor,0
39686,yes,Poor,Good,Acceptable,Good,Good,Good,1
39689,no,Good,Good,Good,Good,Good,Acceptable,0
39691,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Good,0
39692,no,Poor,Good,Acceptable,Poor,Good,Poor,0
39693,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
39698,no,Poor,Poor,Poor,Good,Poor,Good,0
39700,no,Good,Good,Acceptable,Good,Good,Good,0
39701,no,Good,Good,Poor,Good,Good,Poor,0
39703,yes,Poor,Good,Good,Acceptable,Good,Acceptable,1
39704,yes,Good,Good,Good,Good,Good,Good,1
39707,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
39708,yes,Good,Acceptable,Good,Poor,Acceptable,Poor,1
39709,yes,Good,Good,Acceptable,Poor,Good,Good,1
39710,yes,Poor,Poor,Poor,Good,Poor,Good,1
39712,no,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Acceptable,0
39713,no,Acceptable,Acceptable,Good,Good,Acceptable,Good,0
39717,yes,Poor,Good,Acceptable,Good,Good,Good,1
39718,no,Acceptable,Good,Good,Acceptable,Good,Acceptable,0
39719,no,Poor,Poor,Good,Good,Poor,Good,0
39720,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
39721,yes,Good,Good,Good,Good,Good,Good,1
39723,no,Poor,Good,Poor,Poor,Good,Poor,0
39727,no,Good,Good,Poor,Good,Good,Good,0
39730,yes,Poor,Poor,Poor,Good,Poor,Good,1
39731,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
39733,no,Poor,Poor,Poor,Good,Poor,Good,0
39736,yes,Poor,Good,Good,Good,Good,Good,1
39739,yes,Good,Good,Good,Good,Good,Good,1
39740,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Poor,0
39741,yes,Good,Poor,Good,Poor,Poor,Acceptable,1
39750,no,Poor,Poor,Poor,Poor,Poor,Acceptable,0
39752,yes,Good,Good,Poor,Acceptable,Good,Poor,1
39753,yes,Good,Good,Good,Good,Good,Good,1
39755,yes,Good,Good,Good,Good,Good,Good,1
39761,no,Acceptable,Poor,Poor,Good,Poor,Good,0
39763,no,Good,Good,Acceptable,Good,Good,Good,0
39766,yes,Good,Good,Good,Poor,Good,Good,1
39768,yes,Poor,Poor,Good,Poor,Poor,Poor,1
39774,no,Acceptable,Good,Acceptable,Poor,Good,Acceptable,0
39776,yes,Good,Poor,Good,Acceptable,Poor,Poor,1
39782,yes,Poor,Poor,Good,Good,Poor,Good,1
39784,yes,Good,Good,Poor,Good,Good,Good,1
39787,yes,Poor,Poor,Good,Good,Poor,Good,1
39788,no,Poor,Poor,Good,Good,Poor,Acceptable,0
39790,no,Poor,Poor,Good,Good,Poor,Poor,0
39791,no,Good,Good,Poor,Poor,Good,Poor,0
39793,no,Acceptable,Good,Acceptable,Good,Good,Good,0
39794,yes,Good,Good,Acceptable,Poor,Good,Poor,1
39795,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Good,0
39798,yes,Good,Good,Good,Good,Good,Good,1
39799,yes,Good,Acceptable,Good,Good,Acceptable,Acceptable,1
39800,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
39801,no,Acceptable,Acceptable,Poor,Poor,Acceptable,Good,0
39803,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Good,0
39804,yes,Good,Poor,Poor,Good,Poor,Good,1
39805,no,Good,Acceptable,Acceptable,Good,Acceptable,Good,0
39806,yes,Good,Good,Poor,Good,Good,Good,1
39807,yes,Good,Acceptable,Good,Poor,Acceptable,Acceptable,1
39808,yes,Good,Good,Good,Good,Good,Good,1
39810,yes,Poor,Poor,Good,Good,Poor,Good,1
39812,yes,Acceptable,Good,Good,Good,Good,Acceptable,1
39813,yes,Poor,Poor,Good,Good,Poor,Good,1
39815,yes,Good,Good,Acceptable,Poor,Good,Poor,1
39818,yes,Poor,Poor,Good,Good,Poor,Good,1
39820,no,Poor,Acceptable,Acceptable,Poor,Acceptable,Poor,0
39821,yes,Good,Good,Good,Good,Good,Good,1
39822,yes,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,1
39825,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
39826,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39835,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39836,no,Acceptable,Acceptable,Poor,Good,Acceptable,Poor,0
39837,no,Acceptable,Poor,Poor,Acceptable,Poor,Poor,0
39839,yes,Poor,Poor,Good,Poor,Poor,Poor,1
39843,yes,Poor,Poor,Good,Good,Poor,Good,1
39847,yes,Good,Good,Good,Acceptable,Good,Poor,1
39850,no,Poor,Poor,Acceptable,Good,Poor,Poor,0
39852,yes,Poor,Poor,Good,Good,Poor,Good,1
39853,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
39858,no,Poor,Good,Poor,Poor,Good,Poor,0
39859,yes,Good,Good,Good,Good,Good,Acceptable,1
39861,yes,Poor,Good,Poor,Good,Good,Poor,1
39862,yes,Poor,Poor,Good,Good,Poor,Good,1
39863,yes,Poor,Poor,Poor,Acceptable,Poor,Acceptable,1
39865,yes,Good,Good,Acceptable,Good,Good,Good,1
39869,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
39871,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Poor,0
39872,no,Good,Good,Good,Poor,Good,Acceptable,0
39874,no,Good,Good,Good,Poor,Good,Poor,0
39876,no,Poor,Poor,Acceptable,Acceptable,Poor,Good,0
39877,yes,Poor,Poor,Acceptable,Good,Poor,Poor,1
39878,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
39879,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Acceptable,0
39880,no,Poor,Good,Poor,Acceptable,Good,Poor,0
39881,yes,Poor,Poor,Good,Good,Poor,Acceptable,1
39883,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
39884,yes,Good,Acceptable,Good,Poor,Acceptable,Poor,1
39886,yes,Poor,Poor,Poor,Good,Poor,Good,1
39887,yes,Acceptable,Good,Good,Good,Good,Good,1
39888,yes,Poor,Poor,Good,Poor,Poor,Acceptable,1
39889,no,Poor,Poor,Good,Good,Poor,Good,0
39894,yes,Poor,Poor,Good,Good,Poor,Good,1
39896,yes,Poor,Poor,Good,Good,Poor,Good,1
39897,no,Good,Poor,Acceptable,Good,Poor,Good,0
39898,yes,Good,Good,Good,Good,Good,Good,1
39904,yes,Good,Poor,Good,Poor,Poor,Poor,1
39907,no,Poor,Poor,Good,Good,Poor,Good,0
39908,yes,Good,Good,Acceptable,Poor,Good,Good,1
39911,yes,Poor,Poor,Good,Poor,Poor,Poor,1
39913,no,Good,Good,Poor,Acceptable,Good,Good,0
39916,yes,Poor,Poor,Good,Good,Poor,Good,1
39920,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
39921,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
39927,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
39931,no,Poor,Acceptable,Poor,Good,Acceptable,Good,0
39934,yes,Good,Good,Good,Good,Good,Good,1
39935,no,Acceptable,Acceptable,Poor,Poor,Acceptable,Poor,0
39936,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
39938,no,Good,Good,Acceptable,Poor,Good,Poor,0
39939,no,Good,Acceptable,Good,Good,Acceptable,Good,0
39945,no,Good,Good,Acceptable,Poor,Good,Poor,0
39949,yes,Good,Good,Poor,Good,Good,Acceptable,1
39951,yes,Good,Good,Good,Good,Good,Good,1
39954,yes,Good,Good,Good,Good,Good,Good,1
39956,yes,Acceptable,Acceptable,Poor,Good,Acceptable,Good,1
39957,no,Poor,Poor,Poor,Poor,Poor,Poor,0
39958,yes,Good,Poor,Good,Good,Poor,Good,1
39960,yes,Good,Poor,Good,Good,Poor,Good,1
39961,yes,Good,Good,Good,Good,Good,Good,1
39962,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
39964,yes,Good,Good,Poor,Good,Good,Acceptable,1
39970,yes,Poor,Poor,Good,Good,Poor,Acceptable,1
39976,yes,Poor,Acceptable,Good,Good,Acceptable,Good,1
39980,yes,Poor,Poor,Good,Good,Poor,Good,1
39982,no,Acceptable,Good,Good,Good,Good,Acceptable,0
39983,yes,Good,Good,Good,Good,Good,Acceptable,1
39987,no,Poor,Poor,Good,Poor,Poor,Acceptable,0
39988,no,Good,Good,Good,Good,Good,Good,0
39990,yes,Good,Good,Good,Good,Good,Acceptable,1
39996,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
39997,yes,Good,Poor,Good,Good,Poor,Poor,1
39998,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
40001,yes,Poor,Poor,Good,Poor,Poor,Poor,1
40005,no,Poor,Good,Acceptable,Poor,Good,Poor,0
40006,yes,Poor,Poor,Good,Good,Poor,Good,1
40009,yes,Good,Good,Good,Good,Good,Good,1
40010,yes,Good,Good,Poor,Good,Good,Good,1
40011,yes,Poor,Poor,Good,Acceptable,Poor,Acceptable,1
40013,no,Good,Poor,Good,Acceptable,Poor,Good,0
40015,yes,Good,Good,Good,Good,Good,Good,1
40019,no,Good,Good,Acceptable,Acceptable,Good,Acceptable,0
40022,yes,Good,Good,Good,Poor,Good,Good,1
40026,yes,Poor,Poor,Good,Good,Poor,Good,1
40031,no,Poor,Poor,Acceptable,Good,Poor,Poor,0
40032,no,Poor,Good,Poor,Good,Good,Poor,0
40034,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
40035,yes,Good,Poor,Poor,Good,Poor,Good,1
40037,yes,Good,Good,Good,Good,Good,Good,1
40040,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Acceptable,0
40041,no,Acceptable,Poor,Good,Good,Poor,Poor,0
40042,no,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Poor,0
40043,yes,Good,Good,Good,Good,Good,Good,1
40046,yes,Poor,Poor,Poor,Good,Poor,Good,1
40048,yes,Good,Good,Good,Good,Good,Good,1
40051,yes,Poor,Poor,Good,Poor,Poor,Poor,1
40052,yes,Good,Good,Good,Good,Good,Good,1
40053,no,Good,Good,Good,Poor,Good,Poor,0
40054,yes,Poor,Acceptable,Good,Good,Acceptable,Good,1
40056,yes,Good,Good,Good,Good,Good,Good,1
40057,no,Poor,Poor,Poor,Poor,Poor,Poor,0
40058,yes,Poor,Poor,Good,Good,Poor,Good,1
40060,yes,Good,Good,Good,Good,Good,Good,1
40061,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
40062,no,Poor,Good,Poor,Poor,Good,Poor,0
40064,yes,Good,Good,Good,Good,Good,Good,1
40066,yes,Poor,Poor,Good,Poor,Poor,Poor,1
40072,no,Poor,Poor,Good,Poor,Poor,Poor,0
40074,yes,Poor,Poor,Good,Good,Poor,Good,1
40075,no,Poor,Poor,Good,Good,Poor,Poor,0
40078,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
40079,no,Good,Poor,Acceptable,Good,Poor,Good,0
40081,yes,Poor,Poor,Good,Good,Poor,Good,1
40084,no,Acceptable,Good,Poor,Acceptable,Good,Acceptable,0
40087,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Acceptable,0
40092,no,Poor,Poor,Good,Poor,Poor,Poor,0
40093,no,Poor,Poor,Poor,Acceptable,Poor,Poor,0
40094,no,Poor,Good,Poor,Poor,Good,Poor,0
40099,yes,Good,Good,Good,Poor,Good,Acceptable,1
40102,no,Poor,Poor,Poor,Good,Poor,Poor,0
40106,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Good,0
40107,no,Poor,Poor,Poor,Good,Poor,Poor,0
40109,yes,Good,Good,Good,Good,Good,Good,1
40111,no,Poor,Poor,Good,Poor,Poor,Good,0
40115,yes,Poor,Poor,Poor,Poor,Poor,Good,1
40117,yes,Good,Good,Good,Good,Good,Good,1
40120,yes,Poor,Poor,Good,Good,Poor,Good,1
40121,yes,Poor,Poor,Good,Good,Poor,Good,1
40123,no,Poor,Poor,Poor,Good,Poor,Good,0
40124,no,Poor,Acceptable,Poor,Acceptable,Acceptable,Good,0
40127,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
40128,yes,Poor,Poor,Good,Good,Poor,Good,1
40130,no,Good,Good,Good,Good,Good,Poor,0
40131,no,Poor,Good,Acceptable,Poor,Good,Poor,0
40134,no,Poor,Poor,Good,Good,Poor,Acceptable,0
40138,no,Poor,Poor,Poor,Good,Poor,Good,0
40140,no,Good,Acceptable,Good,Good,Acceptable,Good,0
40146,yes,Good,Good,Poor,Good,Good,Good,1
40147,yes,Good,Good,Good,Good,Good,Good,1
40151,no,Poor,Poor,Acceptable,Acceptable,Poor,Poor,0
40154,yes,Good,Good,Good,Good,Good,Good,1
40156,yes,Poor,Poor,Poor,Good,Poor,Good,1
40159,yes,Poor,Poor,Good,Good,Poor,Good,1
40160,yes,Poor,Poor,Good,Good,Poor,Good,1
40161,no,Acceptable,Poor,Good,Good,Poor,Acceptable,0
40164,no,Good,Good,Acceptable,Good,Good,Good,0
40165,yes,Good,Good,Good,Good,Good,Acceptable,1
40166,no,Poor,Acceptable,Good,Good,Acceptable,Good,0
40167,yes,Poor,Poor,Good,Poor,Poor,Poor,1
40168,no,Good,Good,Good,Acceptable,Good,Poor,0
40170,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
40173,no,Poor,Poor,Good,Good,Poor,Acceptable,0
40175,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
40176,no,Good,Good,Good,Good,Good,Good,0
40177,yes,Poor,Poor,Good,Poor,Poor,Poor,1
40178,yes,Good,Acceptable,Good,Acceptable,Acceptable,Poor,1
40179,no,Good,Good,Poor,Good,Good,Poor,0
40182,no,Poor,Acceptable,Poor,Acceptable,Acceptable,Acceptable,0
40184,yes,Good,Good,Poor,Good,Good,Poor,1
40189,no,Poor,Good,Poor,Good,Good,Good,0
40191,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Acceptable,0
40194,yes,Acceptable,Poor,Good,Good,Poor,Good,1
40195,yes,Good,Poor,Good,Good,Poor,Poor,1
40200,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
40201,yes,Poor,Poor,Good,Good,Poor,Good,1
40202,yes,Good,Poor,Good,Good,Poor,Good,1
40204,yes,Good,Good,Poor,Poor,Good,Good,1
40205,no,Good,Good,Poor,Good,Good,Acceptable,0
40208,no,Acceptable,Acceptable,Good,Poor,Acceptable,Poor,0
40210,no,Acceptable,Poor,Acceptable,Good,Poor,Poor,0
40213,no,Poor,Poor,Poor,Good,Poor,Good,0
40218,yes,Poor,Poor,Poor,Good,Poor,Good,1
40220,yes,Poor,Poor,Good,Good,Poor,Good,1
40226,yes,Good,Good,Good,Acceptable,Good,Poor,1
40228,yes,Good,Good,Acceptable,Good,Good,Acceptable,1
40231,yes,Poor,Poor,Good,Good,Poor,Good,1
40232,yes,Good,Good,Poor,Poor,Good,Good,1
40233,no,Acceptable,Good,Good,Good,Good,Good,0
40237,no,Good,Poor,Good,Good,Poor,Good,0
40240,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
40242,no,Poor,Poor,Poor,Good,Poor,Good,0
40243,no,Good,Good,Poor,Acceptable,Good,Poor,0
40244,no,Acceptable,Poor,Good,Poor,Poor,Good,0
40247,no,Acceptable,Good,Acceptable,Good,Good,Poor,0
40248,yes,Poor,Poor,Good,Good,Poor,Good,1
40251,yes,Good,Good,Good,Good,Good,Good,1
40256,no,Poor,Poor,Poor,Poor,Poor,Good,0
40257,no,Poor,Poor,Poor,Acceptable,Poor,Acceptable,0
40259,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Good,0
40261,yes,Poor,Poor,Good,Good,Poor,Good,1
40264,no,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Poor,0
40265,yes,Good,Good,Good,Poor,Good,Good,1
40274,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,0
40280,no,Poor,Poor,Good,Acceptable,Poor,Poor,0
40281,no,Acceptable,Acceptable,Poor,Poor,Acceptable,Acceptable,0
40282,no,Good,Acceptable,Good,Good,Acceptable,Acceptable,0
40287,yes,Good,Good,Good,Good,Good,Good,1
40290,yes,Acceptable,Poor,Good,Good,Poor,Good,1
40291,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
40292,yes,Good,Good,Good,Poor,Good,Acceptable,1
40293,no,Poor,Poor,Poor,Good,Poor,Poor,0
40294,no,Good,Good,Poor,Good,Good,Good,0
40296,no,Good,Good,Acceptable,Good,Good,Good,0
40297,yes,Good,Poor,Good,Acceptable,Poor,Good,1
40303,no,Good,Good,Poor,Good,Good,Good,0
40304,yes,Poor,Poor,Good,Good,Poor,Good,1
40305,no,Poor,Poor,Good,Acceptable,Poor,Good,0
40307,yes,Poor,Poor,Good,Good,Poor,Good,1
40309,no,Poor,Poor,Acceptable,Acceptable,Poor,Good,0
40310,yes,Poor,Poor,Acceptable,Poor,Poor,Poor,1
40311,yes,Good,Good,Good,Good,Good,Good,1
40312,yes,Good,Good,Good,Poor,Good,Poor,1
40314,yes,Poor,Poor,Good,Good,Poor,Good,1
40317,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
40320,yes,Good,Good,Poor,Good,Good,Good,1
40322,yes,Poor,Poor,Good,Good,Poor,Good,1
40323,yes,Poor,Poor,Good,Good,Poor,Good,1
40329,no,Poor,Poor,Good,Good,Poor,Good,0
40330,yes,Good,Good,Good,Good,Good,Good,1
40334,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Acceptable,0
40336,no,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Good,0
40337,no,Poor,Acceptable,Poor,Good,Acceptable,Good,0
40338,yes,Acceptable,Good,Good,Good,Good,Good,1
40339,yes,Good,Good,Good,Good,Good,Good,1
40343,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
40347,yes,Poor,Poor,Poor,Good,Poor,Good,1
40349,yes,Good,Good,Good,Good,Good,Good,1
40351,yes,Poor,Poor,Good,Good,Poor,Good,1
40352,yes,Poor,Poor,Good,Good,Poor,Good,1
40353,yes,Poor,Poor,Good,Good,Poor,Good,1
40355,no,Poor,Acceptable,Poor,Good,Acceptable,Good,0
40356,no,Poor,Poor,Good,Good,Poor,Acceptable,0
40360,yes,Acceptable,Poor,Good,Poor,Poor,Poor,1
